artifact,dataset,run,model,split,accuracy,macro_f1,weighted_f1,avg_steps,max_steps,avg_sample_latency_ms,examples
cmapss_fd001_adaptive,cmapss,fd001,adaptive,test,0.9838087895142636,0.9183037863145396,0.9842027939622762,1.2143407864302236,6,0.16744643576102777,1297
cmapss_fd001_adaptive,cmapss,fd001,adaptive,validation,0.9619450317124736,0.9142406598738476,0.9626770102041758,1.3890063424947146,6,,473
cmapss_fd001_baseline,cmapss,fd001,baseline,test,0.9745566692367,0.8609360886956695,0.974831664265645,0.0,0,,1297
cmapss_fd001_baseline,cmapss,fd001,baseline,validation,0.8985200845665962,0.8558977636712268,0.9025632188181677,0.0,0,,473
cmapss_fd001_fixed,cmapss,fd001,fixed,test,0.9876638396299152,0.8890903583883167,0.9876078559128832,6.0,6,,1297
cmapss_fd001_fixed,cmapss,fd001,fixed,validation,0.9682875264270613,0.9365990546492835,0.9687257962506907,6.0,6,,473
cmapss_fd001_llm,cmapss,fd001,llm,test,0.9136468774094063,0.3182917002417405,0.872418654093591,0.0,0,16.954239886952283,1297
cmapss_fd001_llm,cmapss,fd001,llm,validation,0.7293868921775899,0.2811735941320293,0.6152530019590917,0.0,0,17.08658571237902,473
cmapss_fd002_adaptive,cmapss,fd002,adaptive,test,0.99375,0.965636181846139,0.9937340189511892,1.1148809523809524,6,,3360
cmapss_fd002_adaptive,cmapss,fd002,adaptive,validation,0.9809853068280034,0.9706619697048072,0.9808320697625713,1.2255834053586863,6,,1157
cmapss_fd003_adaptive,cmapss,fd003,adaptive,test,0.9826589595375722,0.8300022987750811,0.981528935997432,1.199421965317919,6,,1730
cmapss_fd003_adaptive,cmapss,fd003,adaptive,validation,0.9330708661417323,0.839098510863424,0.9293704499122762,1.6377952755905512,6,,508
cmapss_fd004_adaptive,cmapss,fd004,adaptive,test,0.9925719591457753,0.9280104983558842,0.9923592146451975,1.116063138347261,6,,4308
cmapss_fd004_adaptive,cmapss,fd004,adaptive,validation,0.9679533867443554,0.9247339616175175,0.9687128533060254,1.1908230152949746,6,,1373
ims_1st_test_adaptive_stratified,ims,1st_test (stratified),adaptive,validation,0.9724770642201835,0.9772923608540047,0.972283456008478,1.5412844036697249,6,,109
ims_2nd_test_adaptive,ims,2nd_test,adaptive,validation,0.94,0.9500891265597148,0.9390374331550803,2.2,6,,50
ims_4th_test_txt_adaptive,ims,4th_test_txt,adaptive,validation,0.9558359621451105,0.9416672491081007,0.9563184177494738,1.5141955835962144,6,,317
